section,date,keyword,group,interest_score,region,query_type,related_term,related_value,suggestion_type
interest_over_time,2025-04-13,American ginseng root,American Ginseng,0.0,,,,,
interest_over_time,2025-04-13,American ginseng slices,American Ginseng,0.0,,,,,
interest_over_time,2025-04-13,ginseng instant tea,American Ginseng,0.0,,,,,
interest_over_time,2025-04-13,ginseng candy,American Ginseng,0.0,,,,,
interest_over_time,2025-04-13,ginseng herbal tea,American Ginseng,0.0,,,,,
interest_over_time,2025-04-13,Prince of Peace ginger chews,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger chews original,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger chews mango,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger chews lemon,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger chews blood orange,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger chews lychee,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger chews pineapple coconut,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger honey crystals,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger chews plus,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginger chews bulk,American Ginseng,,,,,,
interest_over_time,2025-04-13,Ferrero Rocher,American Ginseng,,,,,,
interest_over_time,2025-04-13,Gavottes crepes dentelle,American Ginseng,,,,,,
interest_over_time,2025-04-13,Kjeldsens butter cookies,American Ginseng,,,,,,
interest_over_time,2025-04-13,Loacker wafer hazelnut,American Ginseng,,,,,,
interest_over_time,2025-04-13,Mexican egg rolls,American Ginseng,,,,,,
interest_over_time,2025-04-13,Loacker dark hazelnut,American Ginseng,,,,,,
interest_over_time,2025-04-13,Loacker cappuccino,American Ginseng,,,,,,
interest_over_time,2025-04-13,Loacker white coconut,American Ginseng,,,,,,
interest_over_time,2025-04-13,Loacker orange chocolate,American Ginseng,,,,,,
interest_over_time,2025-04-13,Loacker Gran Pasticceria,American Ginseng,,,,,,
interest_over_time,2025-04-13,Mazola corn oil,American Ginseng,,,,,,
interest_over_time,2025-04-13,Totole chicken bouillon,American Ginseng,,,,,,
interest_over_time,2025-04-13,Kwan Loong oil,American Ginseng,,,,,,
interest_over_time,2025-04-13,Tiger Balm,American Ginseng,,,,,,
interest_over_time,2025-04-13,Tiger Balm patch,American Ginseng,,,,,,
interest_over_time,2025-04-13,Prince of Peace green tea,American Ginseng,,,,,,
interest_over_time,2025-04-13,Prince of Peace jasmine tea,American Ginseng,,,,,,
interest_over_time,2025-04-13,Prince of Peace oolong tea,American Ginseng,,,,,,
interest_over_time,2025-04-13,Prince of Peace white tea,American Ginseng,,,,,,
interest_over_time,2025-04-13,blood pressure herbal tea,American Ginseng,,,,,,
interest_over_time,2025-04-13,blood pressure herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-04-13,blood sugar herbal tea,American Ginseng,,,,,,
interest_over_time,2025-04-13,cholesterol herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-04-13,ginseng blood pressure,American Ginseng,,,,,,
interest_over_time,2025-04-13,herbal health tea Asian,American Ginseng,,,,,,
interest_over_time,2025-04-20,American ginseng root,American Ginseng,0.0,,,,,
interest_over_time,2025-04-20,American ginseng slices,American Ginseng,0.0,,,,,
interest_over_time,2025-04-20,ginseng instant tea,American Ginseng,0.0,,,,,
interest_over_time,2025-04-20,ginseng candy,American Ginseng,0.0,,,,,
interest_over_time,2025-04-20,ginseng herbal tea,American Ginseng,0.0,,,,,
interest_over_time,2025-04-20,Prince of Peace ginger chews,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger chews original,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger chews mango,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger chews lemon,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger chews blood orange,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger chews lychee,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger chews pineapple coconut,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger honey crystals,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger chews plus,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginger chews bulk,American Ginseng,,,,,,
interest_over_time,2025-04-20,Ferrero Rocher,American Ginseng,,,,,,
interest_over_time,2025-04-20,Gavottes crepes dentelle,American Ginseng,,,,,,
interest_over_time,2025-04-20,Kjeldsens butter cookies,American Ginseng,,,,,,
interest_over_time,2025-04-20,Loacker wafer hazelnut,American Ginseng,,,,,,
interest_over_time,2025-04-20,Mexican egg rolls,American Ginseng,,,,,,
interest_over_time,2025-04-20,Loacker dark hazelnut,American Ginseng,,,,,,
interest_over_time,2025-04-20,Loacker cappuccino,American Ginseng,,,,,,
interest_over_time,2025-04-20,Loacker white coconut,American Ginseng,,,,,,
interest_over_time,2025-04-20,Loacker orange chocolate,American Ginseng,,,,,,
interest_over_time,2025-04-20,Loacker Gran Pasticceria,American Ginseng,,,,,,
interest_over_time,2025-04-20,Mazola corn oil,American Ginseng,,,,,,
interest_over_time,2025-04-20,Totole chicken bouillon,American Ginseng,,,,,,
interest_over_time,2025-04-20,Kwan Loong oil,American Ginseng,,,,,,
interest_over_time,2025-04-20,Tiger Balm,American Ginseng,,,,,,
interest_over_time,2025-04-20,Tiger Balm patch,American Ginseng,,,,,,
interest_over_time,2025-04-20,Prince of Peace green tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,Prince of Peace jasmine tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,Prince of Peace oolong tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,Prince of Peace white tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,blood pressure herbal tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,blood pressure herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-04-20,blood sugar herbal tea,American Ginseng,,,,,,
interest_over_time,2025-04-20,cholesterol herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-04-20,ginseng blood pressure,American Ginseng,,,,,,
interest_over_time,2025-04-20,herbal health tea Asian,American Ginseng,,,,,,
interest_over_time,2025-04-27,American ginseng root,American Ginseng,0.0,,,,,
interest_over_time,2025-04-27,American ginseng slices,American Ginseng,0.0,,,,,
